Termino,D#
a,1
a,2
ahora,1
ahí,2
alcanza,1
alguien,1
baby,1
buscaste,1
canción,2
capitales,2
como,1
con,1
conocer,1
corazón,1
corazón,2
corto,1
cubre,2
de,1
de,2
descaro,1
despegar,1
dice,2
diversión,1
el,1
en,2
eras,1
es,1
es,1
es,2
está,2
fama,2
fue,1
grasa,2
hay,2
hay,2
ideales,2
importa,2
importan,2
improvisar,1
la,1
la,2
la,2
las,2
llorar,2
lo,1
lo,2
lo,2
lugar,2
me,1
me,2
mejor,1
mismo,2
muy,1
mí,2
nada,2
necesitas,1
no,1
no,1
no,2
nuevo,1
oportunidad,2
otro,2
parte,1
pasó,2
por,2
propio,1
que,2
que,2
que,2
que,2
que,2
quien,1
qué,2
rey,1
show,1
simple,1
solo,1
solía,1
te,1
te,1
tenes,2
tiempo,1
tienes,1
tienes,2
todo,2
todo,2
tu,1
tu,2
tu,2
tu,2
tu,2
tus,2
un,1
un,1
un,1
vamos,2
vamos,2
vengador,1
vengador,1
y,1
ya,1
ya,2
yo,1
