Termino,D#
ya,1
no,1
me,1
necesitas,1
es,1
lo,1
mejor,1
eras,1
alguien,1
a,1
quien,1
yo,1
solía,1
conocer,1
fue,1
muy,1
simple,1
despegar,1
solo,1
un,1
corto,1
tiempo,1
y,1
te,1
buscaste,1
un,1
nuevo,1
corazón,1
ahora,1
tienes,1
tu,1
propio,1
show,1
como,1
un,1
rey,1
vengador,1
vengador,1
no,1
te,1
alcanza,1
con,1
improvisar,1
el,1
descaro,1
baby,1
es,1
parte,1
de,1
la,1
diversión,1
que,2
importan,2
ya,2
tus,2
ideales,2
que,2
importa,2
tu,2
canción,2
la,2
grasa,2
de,2
las,2
capitales,2
cubre,2
tu,2
corazón,2
por,2
qué,2
tenes,2
que,2
llorar,2
es,2
que,2
hay,2
otro,2
en,2
tu,2
lugar,2
que,2
dice,2
vamos,2
vamos,2
la,2
fama,2
tu,2
oportunidad,2
está,2
ahí,2
lo,2
mismo,2
me,2
pasó,2
a,2
mí,2
lo,2
tienes,2
todo,2
todo,2
no,2
hay,2
nada,2
