#RR,D#,F#,#PR
0,1,1,1
1,2,1,-1
2,1,1,-1
3,2,1,-1
4,1,1,-1
5,1,1,-1
6,1,1,-1
7,1,1,-1
8,2,1,-1
9,2,1,-1
10,1,1,-1
11,1,1,-1
12,1,1,-1
13,1,1,14
14,2,1,-1
15,1,1,-1
16,2,1,-1
17,1,1,18
18,2,1,-1
19,1,1,-1
20,1,1,-1
21,2,1,-1
22,1,1,-1
23,1,1,-1
24,2,1,-1
25,1,1,-1
26,1,2,27
27,2,1,-1
28,2,1,-1
29,2,1,-1
30,1,1,-1
31,2,1,-1
32,2,2,-1
33,2,1,-1
34,2,1,-1
35,2,1,-1
36,1,1,-1
37,1,1,38
38,2,2,-1
39,2,1,-1
40,2,1,-1
41,1,1,42
42,2,2,-1
43,2,1,-1
44,1,1,45
45,2,1,-1
46,1,1,-1
47,2,1,-1
48,1,1,-1
49,2,1,-1
50,2,1,-1
51,1,1,-1
52,1,2,53
53,2,1,-1
54,1,1,-1
55,2,1,-1
56,2,1,-1
57,1,1,-1
58,2,1,-1
59,2,1,-1
60,1,1,-1
61,2,5,-1
62,1,1,-1
63,2,1,-1
64,1,1,-1
65,1,1,-1
66,1,1,-1
67,1,1,-1
68,1,1,-1
69,1,2,-1
70,2,1,-1
71,1,1,-1
72,1,1,73
73,2,1,-1
74,2,2,-1
75,1,1,76
76,2,4,-1
77,2,1,-1
78,1,3,-1
79,2,2,-1
80,1,2,-1
81,1,1,-1
82,1,1,83
83,2,1,-1
84,1,1,-1
